DENOMINAZIONE,COMUNE,PROVINCIA,TELEFONO,EMAIL,AREA,SERVIZI,ATTIVITA,TIPOLOGIE PERSONE SVANTAGGIATE,WGS84_Y,WGS84_X,location
COOPERATIVA SOCIALE SAN NICOLO' - SOCIETA' COOPERATIVA SOCIALE - ONLUS.,Cividate al Piano,BG,035540976,info@coopsannicolo.it,"Anziani, Disabili/Handicappati, Educativa","Altro, Assistenza scolastica ""ad personam"", Residenza Sanitaria assistenziale per anziani",,,45.55582614,9.83320697,"(45.55582614, 9.83320697)"
FIORDALISO COOPERATIVA SOCIALE - ONLUS,Castiglione delle Stiviere,MN,0376860114,coopfiordaliso@libero.it,"Disabili/Handicappati, Educativa, Famiglia, Minori","Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Centro socio educativo, Servizi di formazione all'autonomia",,,45.39605369,10.49119054,"(45.39605369, 10.49119054)"
CONCORDIA SOCIETA' COOPERATIVA SOCIALE O IN FORMA ABBREVIATA CONCORDIA S.C.S.,Rivanazzano,PV,0383934051,info@coopconcordia.it,"Anziani, Disabili/Handicappati, Psichiatria",Residenza Sanitaria assistenziale per anziani,,,44.93156495,9.01720765,"(44.93156495, 9.01720765)"
DIALOGICA COOPERATIVA SOCIALE,Milano,MI,0289696553,dialogica@dialogica-lab.eu,"Disabili/Handicappati, Disagio Giovanile, Famiglia, Minori, Prevenzione del disagio, Stranieri",Formazione - Consulenza - Progettazione,,,45.48949827,9.20291121,"(45.48949827, 9.20291121)"
IL GRANELLINO DI SENAPA SOCIETA' COOPERATIVA SOCIALE,Inzago,MI,029549586,r.sala@ilgranellinodisenapa.net,,,"Gestione isola ecologica, Lavanderia, Pulizia ambienti","Disabili, Tossicodipendenti, Alcooldipendenti",45.53572659,9.49187194,"(45.53572659, 9.49187194)"
FRATERNITA' IMPRESA SOCIALE SOCIETA' COOPERATIVA SOCIALE ONLUS,Ospitaletto,BS,0306841609,fraternita@fraternita.it,,,Altro,Disabili,45.54867459,10.08863091,"(45.54867459, 10.08863091)"
GABBIANO SERVIZI SOC. COOPERATIVA SOCIALE DI SOLIDARIETA',Milano,MI,02 48929202,gabbiano@gabbianoservizicoop.org,Disabili/Handicappati,"Animazione, Assistenza Domiciliare integrata Disabili, Assistenza scolastica ""ad personam"", Centro Diurno per disabili, Centro di formazione per disabili, Comunità socio sanitaria per disabili, Servizi di formazione all'autonomia",,,45.46194799,9.09087089,"(45.46194799, 9.09087089)"
PUBBLICA ASSISTENZA SOCIETA' COOPERATIVA SOCIALE ONLUS IN SIGLA PUBBLICA ASSISTE,Gavardo,BS,036534187,,"Anziani, Disabili/Handicappati",Altro,,,45.57802884,10.43293274,"(45.57802884, 10.43293274)"
ANDROPOLIS AMBIENTE - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Gardone Val Trompia,BS,0306591725,flavia.carrara@ndropolis.it,,,"Assembl. meccanici, Consegna pasti, Facchinaggio e traslochi, Gestione mense, Lavanderia, Manutenzione verde, Pulizia ambienti, Sgomberi locali, Sorveglianza e portierato, Tinteggiatura, Volantinaggio","Disabili, Pazienti psichiatrici, Tossicodipendenti, Alcooldipendenti",45.67934938,10.18739976,"(45.67934938, 10.18739976)"
IN VERE VICUS COOPERATIVA SOCIALE,Inverigo,CO,031609156,segreteria@scuolasancarlo.it,Educativa,Istituti scolastici primo e secondo grado,,,45.7450199,9.23016548,"(45.7450199, 9.23016548)"
SI PUO' FARE SOCIETA' COOPERATIVA SOCIALE,Como,CO,3341121407,,,,"Altro, Sgomberi locali",Disabili,45.78465996,9.07670365,"(45.78465996, 9.07670365)"
NOCETUM SOCIETA' COOPERATIVA SOCIALE,Milano,MI,0255230575,NOCETUM@CGN.LEGALMAIL.IT,"Altro, Educativa, Emarginazione Sociale, Famiglia, Minori, Stranieri","Altro, Attività Extra scolastiche a minori, Comunità Accoglienza residenziale, Comunità educative",,,45.4314406,9.22446294,"(45.4314406, 9.22446294)"
VIA LIBERA COOPERATIVA SOCIALE - ONLUS,Milano,MI,0289504176,via.libera@virgilio.it,"Anziani, Disabili/Handicappati, Famiglia, Minori","Altro, Animazione, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Centro Ricreativo diurno minori, Formazione - Consulenza - Progettazione, Trasporto persone in situazione di bisogno",,,45.43095957,9.15326973,"(45.43095957, 9.15326973)"
LA CLESSIDRA SOCIETA' COOPERATIVA SOCIALE,Milano,MI,0245471898,info@laclessidra.org,"Famiglia, Minori","Comunità educative, Comunità per minori",,,45.48327949,9.21382586,"(45.48327949, 9.21382586)"
SOL.CO. MANTOVA - SOLIDARIETA' E COOPERAZIONE - SOCIETA' COOPERATIVA SOCIALE,Mantova,MN,0376263674,info@solcomantova.it,,,,,45.14853516,10.76669729,"(45.14853516, 10.76669729)"
ISIS SOCIETA' COOPERATIVA SOCIALE ONLUS,Brescia,BS,0303367060,,"Anziani, Disabili/Handicappati","Assistenza Domiciliare integrata Anziani, Assistenza Domiciliare integrata Disabili",,,45.53266871,10.2426565,"(45.53266871, 10.2426565)"
SOCIETA' COOPERATIVA SOCIALE L'IMPRONTA ONLUS,Busto Arsizio,VA,335474346,matteo_pozzi@virgilio.it,"Detenuti, Educativa, Minori, Prevenzione del disagio",Altro,,,45.58453875,8.85908134,"(45.58453875, 8.85908134)"
COOPERATIVA SOCIALE INSIEME - SOCIETA' COOPERATIVA ONLUS,Monzambano,MN,0309916044,S.CAMPREGHER2@GMAIL.COM,,,"Falegnameria, Manutenzione stabili","Tossicodipendenti, Alcooldipendenti",45.38685251,10.69354031,"(45.38685251, 10.69354031)"
EUREKA SOCIETA' COOPERATIVA SOCIALE,Casatenovo,LC,0399204391,,"Disagio Giovanile, Educativa",Alloggi protetti,,,45.69331827,9.31389919,"(45.69331827, 9.31389919)"
CASA BIANCA - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Brescia,BS,030225017,info@albinobonomelli.it,Educativa,Assistenza Pre e Post Scolastica,,,45.52751909,10.2115446,"(45.52751909, 10.2115446)"
GHERIM SOCIETA' COOPERATIVA SOCIALE,Nembro,BG,339 7260380,,,,"Altro, Gestione bar",Disabili,45.74506511,9.7601585,"(45.74506511, 9.7601585)"
NAZARET SOCIETA' COOPERATIVA SOCIALE - ONLUS,Arese,MI,0293581943,coop_nazaret@libero.it,"Disabili/Handicappati, Minori, Psichiatria","Assistenza Domiciliare integrata Disabili, Assistenza domiciliare minori, Centro socio educativo, Comunità Alloggio per malati psichici, Servizi di formazione all'autonomia",,,45.54789496,9.07894678,"(45.54789496, 9.07894678)"
PARRESIA - COOPERATIVA SOCIALE - O.N.L.U.S,Gorla Maggiore,VA,3498418299,cristinaba@fastwebnet.it,,,"Gestione mense, Pulizia ambienti","Detenuti, Disabili",45.6676405,8.8871449,"(45.6676405, 8.8871449)"
COOPERATIVA C.T.E. COOPERATIVA SOCIALE,Melzo,MI,0236743200,GOLDBERG@LEGALMAIL.IT,"Altro, Anziani, Detenuti, Disabili/Handicappati, Educativa, Emarginazione Sociale, Famiglia, Minori, Prevenzione del disagio, Psichiatria","Altro, Assistenza Domiciliare integrata Anziani, Gestione reparti ospedalieri, Istituto di Riabilitazione Geriatrico",,,45.50008127,9.42463839,"(45.50008127, 9.42463839)"
IL LABORATORIO DI PROCACCINI 14 SOCIETA' COOPERATIVA - ONLUS,Milano,MI,02344827,procaccini14@libero.it,,,"Consegna pasti, Gestione mense","Disabili, Pazienti psichiatrici",45.48371404,9.17243941,"(45.48371404, 9.17243941)"
CURA E ASSISTENZA ALLA PERSONA SOCIETA' COOPERATIVA SOCIALE,Milano,MI,3392019326,,"Anziani, Disabili/Handicappati, Minori",Riabilitazione specialistica ambulatoriale,,,45.48207237,9.20325004,"(45.48207237, 9.20325004)"
COOPERATIVA SOCIALE CASCINA BIANCA A R.L.,Milano,MI,02473049,direzione@cascinabianca.org,,,"Altro, Manutenzione verde, Servizi di informat.",Disabili,45.45136061,9.13861708,"(45.45136061, 9.13861708)"
COMUNITA' FRATERNITA' - SOCIETA' COOPERATIVA SOCIALE ONLUS,Ospitaletto,BS,0306841753,comunita@fraternita.it,"Alcooldipendenza, Educativa, Emarginazione Sociale, Malati AIDS, Prevenzione del disagio, Psichiatria",Altro,,,45.54878711,10.08812386,"(45.54878711, 10.08812386)"
ISIDORA SOCIETA' COOPERATIVA SOCIALE DI LAVORO,Mantova,MN,3317943447,,,,"Consegna pasti, Gestione bar, Gestione mense",Disabili,45.15292198,10.74924108,"(45.15292198, 10.74924108)"
CE LA FAREMO! - COOPERATIVA SOCIALE,Curtatone,MN,0376653121,studio.mozzanega@mynet.it,,,Recupero e vendita beni usati,Disabili,45.15039681,10.7229544,"(45.15039681, 10.7229544)"
HUMUS - SOCIETA' COOPERATIVA SOCIALE,Como,CO,031296405,info@arcadicomo.org,,,Manutenzione verde,"Disabili, Tossicodipendenti, Alcooldipendenti",45.80332937,9.10265793,"(45.80332937, 9.10265793)"
METAMORFOSI SOCIETA' COOPERATIVA SOCIALE,Milano,MI,0258115103,coopmetamorfosi@yahoo.it,"Altro, Disagio Giovanile, Educativa, Famiglia, Minori, Prevenzione del disagio, Psichiatria, Stranieri",Altro,,,45.45493142,9.17499843,"(45.45493142, 9.17499843)"
AMICA ASSISTENZA COOPERATIVA SOCIALE - ONLUS,Vergiate,VA,03311465238,,"Anziani, Disabili/Handicappati, Educativa, Famiglia, Minori",Altro,,,45.72715369,8.69961342,"(45.72715369, 8.69961342)"
CASA DI MATERNITA' LA VIA LATTEA PICCOLA SOCIETA' COOPERATIVA SOCIALE,Milano,MI,0289077589,info@casamaternita.it,"Educativa, Famiglia, Minori","Altro, Asilo Nido",,,45.46979059,9.1338671,"(45.46979059, 9.1338671)"
EDUCATIONAL TEAM SOCIETA' COOPERATIVA SOCIALE - ONLUS,Varese,VA,3471643808,TRIBRAX@TIN.IT,"Disabili/Handicappati, Disagio Giovanile, Educativa, Famiglia, Minori, Prevenzione del disagio, Stranieri","Asilo Nido, Assistenza Pre e Post Scolastica, Assistenza domiciliare minori, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Educatori di Strada, Formazione - Consulenza - Progettazione, Formazione del personale, Mediazione culturale e/o linguistica, Micronidi, Nidi famiglia, Progettazione servizi sperimentali, Scuole Materne",,,45.820986,8.8299328,"(45.820986, 8.8299328)"
RAGAZZI E CINEMA COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA ONLUS,Lecco,LC,03411972390,info@ragazziecinema.it,"Educativa, Minori",Animazione,,,45.85204877,9.3913611,"(45.85204877, 9.3913611)"
EDILIZIA & INNOVAZIONE COOPERATIVA SOCIALE - ONLUS,Gallarate,VA,3496881334,,,,"Affissione manifesti, Agricola, Apertura e chiusura parchi, Assemblaggio elett., Attività editoriale, Cartotecnica e imball., Confezionamenti vari, Custodia parcheggi, Facchinaggio e traslochi, Falegnameria, Gestione bar, Gestione caseificio, Gestione isola ecologica, Gestione mense, Lavanderia, Legatoria, Manufatti in cuoio, Manutenzione stabili, Manutenzione verde, Officina meccanica, Orto-floro-vivaismo, Produzione segnaletica stradale, Progettazione e istallazione impianti fotovoltaici, Progettazioni grafiche, Pulizia ambienti, Raccolta differenz., Recupero e vendita beni usati, Rilievi topografici, Servizi cimiteriali, Servizi di informat., Volantinaggio",,45.66125443,8.79194517,"(45.66125443, 8.79194517)"
PARTINVERSE COOPERATIVA SOCIALE O.N.L.U.S.,Mantova,MN,3384899330,partinverse@libero.it,"Anziani, Detenuti, Disabili/Handicappati, Disagio Giovanile, Educativa, Emarginazione Sociale, Famiglia, Minori, Prevenzione del disagio, Psichiatria, Stranieri, Tossicodipendenza","Animazione culturale  e territoriale, Attività Extra scolastiche a minori, Formazione - Consulenza - Progettazione, Progettazione servizi sperimentali, Progetti educativi in carcere e/o comunità",,,45.14199767,10.79508987,"(45.14199767, 10.79508987)"
SOCIETA' COOPERATIVA SOCIALE ESAGRAMMA IL MULINO DELLE NOTE ONLUS,Milano,MI,0292880853,b.cimpanelli@esagramma.net,"Disabili/Handicappati, Disagio Giovanile, Educativa, Psichiatria","Centro di formazione per disabili, Formazione - Consulenza - Progettazione",,,45.4847494,9.16176565,"(45.4847494, 9.16176565)"
SOCIETA' COOPERATIVA SOCIALE BADANTI A MANTOVA,Mantova,MN,03761792843,,"Anziani, Disabili/Handicappati, Famiglia, Minori",Altro,,,45.15444596,10.78499626,"(45.15444596, 10.78499626)"
SOLIDARIETA' E SERVIZI COOPERATIVA SOCIALE,Busto Arsizio,VA,0331336350,info@solidarietaeservizi.it,,,"Altro, Confezionamenti vari, Pulizia ambienti, Servizi di informat.",Disabili,45.61750497,8.84886345,"(45.61750497, 8.84886345)"
LA STRADA SOCIETA' COOPERATIVA SOCIALE,Milano,MI,0255213838,info@lastrada.it,"Anziani, Detenuti, Disagio Giovanile, Educativa, Emarginazione Sociale, Famiglia, Malati AIDS, Minori, Prevenzione del disagio, Stranieri","Altro, Casa Vacanza, Centro di Aggregazione Giovanile, Comunità alloggio per malati di AIDS, Comunità per minori, Formazione - Consulenza - Progettazione",,,45.43479735,9.2219259,"(45.43479735, 9.2219259)"
IL GIARDINO DEI BIMBI - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Mantova,MN,0376381377,giardino.bimbi@libero.it,"Educativa, Minori","Asilo Nido, Assistenza scolastica ""ad personam"", Scuola materna",,,45.14859411,10.76732057,"(45.14859411, 10.76732057)"
SOLIDARIETA' MANERBIESE - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Manerbio,BS,0309938519,info@solmanerbiese.it,,,"Altro, Gestione isola ecologica, Manutenzione verde, Raccolta differenz., Servizi cimiteriali, Sgomberi locali, Spazzamento e pulizia strade",Disabili,45.35544449,10.12516589,"(45.35544449, 10.12516589)"
IL LOTO SOCIETA' COOPERATIVA SOCIALE ONLUS,Gallarate,VA,0331-780666,illoto@libero.it,,,"Falegnameria, Manutenzione verde, Tinteggiatura","Disabili, Tossicodipendenti, Alcooldipendenti",45.65813017,8.81029386,"(45.65813017, 8.81029386)"
COOPERATIVA SOCIALE AESIS SOCIETA' COOPERATIVA ONLUS,Breno,BS,036421265,'villamozart.lozio@libero.it',Anziani,Residenza Sanitaria assistenziale per anziani,,,45.95746341,10.30352656,"(45.95746341, 10.30352656)"
IL GIROTONDO SOCIETA' COOPERATIVA SOCIALE,Busto Arsizio,VA,0331626300,cooperativailgirotondo@virgilio.it,"Educativa, Minori",Comunità Alloggio per autonomia minori,,,45.61433355,8.85205385,"(45.61433355, 8.85205385)"
IL MARSUPIO SOCIETA' COOPERATIVA SOCIALE - ONLUS,Milano,MI,0239273101,ilmarsupio@yahoo.com,"Educativa, Famiglia, Minori",Formazione - Consulenza - Progettazione,,,45.49223138,9.14892855,"(45.49223138, 9.14892855)"
COMUNITA' MADDALENA ISTITUTO DI RIABILITAZIONE PSICHIATRICO - SOCIETA' COOPERATIVA SOCIALE-ONLUS,Visano,BS,3456227838,ctsragioneria@virgilio.it,Psichiatria,Comunità Protetta Psichiatrica,,,45.32279641,10.37612482,"(45.32279641, 10.37612482)"
COOPERATIVA SOCIALE COMUNITA' ALLOGGIO AL CILIEGIO - SOCIETA' COOPERATIVA CON LA SIGLA COOPERATIVA SOCIALE AL CILIEGIO,Vertemate con Minoprio,CO,031900416,ALCILIEGIO@TISCALI.IT,Disabili/Handicappati,Centri di Formazione per Handicappati,,,45.72614439,9.07177265,"(45.72614439, 9.07177265)"
COOPERATIVA SOCIALE CO.ESA SOC. COOP. A R.L.,Milano,MI,0233407040,info@coesacoopsoc.it,"Disabili/Handicappati, Educativa, Famiglia, Minori, Psichiatria, Stranieri","Assistenza Domiciliare integrata Disabili, Assistenza domiciliare minori, Assistenza scolastica ""ad personam"", Comunità Accoglienza residenziale",,,45.48593433,9.12429926,"(45.48593433, 9.12429926)"
ALCE NERO SOCIETA' COOPERATIVA SOCIALE ONLUS,Mantova,MN,0376263627,info@alcenero.org,,,"Altro, Gestione bar",,45.14906346,10.7679542,"(45.14906346, 10.7679542)"
L'ABBRACCIO SOCIETA' COOPERATIVA SOCIALE,Busto Arsizio,VA,0331 620562,pedronabbraccio@yahoo.it,Minori,Altro,,,45.61863663,8.86905077,"(45.61863663, 8.86905077)"
SANTI MARTIRI SOCIETA' COOPERATIVA SOCIALE,Legnano,MI,0331452332,santimartiri@libero.it,,,"Assembl. meccanici, Assemblaggio elett., Confezionamenti vari, Manufatti in cuoio, Manutenzione verde","Disabili, Pazienti psichiatrici",45.60467457,8.90630919,"(45.60467457, 8.90630919)"
"UN,DUE,TRE ... STELLA! COOPERATIVA SOCIALE",Milano,MI,3473126813,unduetrestellacoop@libero.it,"Altro, Educativa",Asilo Nido,,,45.45940999,9.15665761,"(45.45940999, 9.15665761)"
AURORA - COOPERATIVA SOCIALE,Trezzano sul Naviglio,MI,0290843336,auroraonlus@fastwebnet.it,,,"Confezionamenti vari, Facchinaggio e traslochi, Manutenzione verde, Pulizia ambienti, Sgomberi locali","Detenuti, Disabili",45.42143978,9.05433453,"(45.42143978, 9.05433453)"
AROMI A TUTTO CAMPO SOCIETA' COOPERATIVA SOCIALEIN FORMA BREVE IN FORMA BREVE AROMI A TUTTO CAMPO S.C.S.,Milano,MI,3200204245,,,,"Altro, Manutenzione verde","Disabili, Pazienti psichiatrici",45.52270194,9.1637785,"(45.52270194, 9.1637785)"
SOCIETA' COOPERATIVA SOCIALE MEMPHIS,Chiuduno,BG,0354427113,amministrazione@comunitaemmaus.it,,,"Lavorazione legno, Manutenzione stabili, Manutenzione verde, Pulizia ambienti, Tinteggiatura","Disabili, Tossicodipendenti, Alcooldipendenti",45.65983877,9.86260938,"(45.65983877, 9.86260938)"
SPERANZA SOCIETA' COOPERATIVA SOCIALE - O.N.L.U.S.,Mantova,MN,0376381560,info@coopsperanza.it,,,"Gestione mense, Pulizia ambienti","Disabili, Pazienti psichiatrici, Tossicodipendenti, Alcooldipendenti",45.14853516,10.76669729,"(45.14853516, 10.76669729)"
AMPAST SOCIETA' COOPERATIVA SOCIALE,Milano,MI,0233600580,,Anziani,Istituto di Riabilitazione Geriatrico,,,45.4892724,9.1584657,"(45.4892724, 9.1584657)"
OFFICINA DELL'ABITARE COOPERATIVA SOCIALE,Milano,MI,026701108,,Emarginazione Sociale,Altro,,,45.46757433,9.17311032,"(45.46757433, 9.17311032)"
GRAFFIO SOCIETA' COOPERATIVA SOCIALE ONLUS,Cologne,BS,3939714719,graffio@cooperativagraffio.it,"Disagio Giovanile, Educativa, Minori, Prevenzione del disagio, Stranieri","Animazione, Educatori di Strada, Formazione - Consulenza - Progettazione, Informagiovani - Spazio giovani",,,45.57960139,9.94114255,"(45.57960139, 9.94114255)"
SOCIETA' COOPERATIVA SOCIALE L'ISOLA CHE NON C'E'! ONLUS,Novate Milanese,MI,0238203431,info@lisolachenonce.eu,Minori,Altro,,,45.5292744,9.13350116,"(45.5292744, 9.13350116)"
VERSO L'ALTRO - SOCIETA' COOPERATIVA SOCIALE ONLUS,Capriolo,BS,0307364632,versolaltro@tiscali.it,,,Manutenzione verde,"Disabili, Pazienti psichiatrici, Tossicodipendenti, Alcooldipendenti",45.64127055,9.93353662,"(45.64127055, 9.93353662)"
I FIORI BLU COOPERATIVA SOCIALE - ONLUS,Gallarate,VA,3281414131,,,,"Affissione manifesti, Agricola, Allevamento, Apertura e chiusura parchi, Assembl. meccanici, Assemblaggio elett., Attività editoriale, Cartotecnica e imball., Confezionamenti vari, Consegna pasti, Custodia parcheggi, Facchinaggio e traslochi, Falegnameria, Gestione bar, Gestione biblioteche e musei, Gestione caseificio, Gestione isola ecologica, Gestione mense, Lavanderia, Lavorazione legno, Legatoria, Manufatti in cuoio, Manutenzione stabili, Manutenzione verde, Officina meccanica, Orto-floro-vivaismo, Produzione segnaletica stradale, Progettazione e istallazione impianti fotovoltaici, Progettazioni grafiche, Pulizia ambienti, Raccolta differenz., Recupero e vendita beni usati, Rilievi topografici, Servizi cimiteriali, Servizi di informat., Sgomberi locali, Sorveglianza e portierato, Spazzamento e pulizia strade, Tessitura in genere, Tinteggiatura, Tipografia e stampa, Trasporto merci, Trasporto persone, Valorizzazione del territorio, Volantinaggio",,45.6646104,8.7791942,"(45.6646104, 8.7791942)"
LA RONDINE - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Mazzano,BS,0302629716,segreteria@larondinecoop.it,"Anziani, Disabili/Handicappati, Famiglia","Altro, Assistenza Domiciliare integrata Anziani, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Centro socio educativo, Comunità socio sanitaria per disabili, Residenza Sanitaria assistenziale per anziani, Riabilitazione specialistica ambulatoriale, Servizi di formazione all'autonomia",,,45.50308136,10.3563151,"(45.50308136, 10.3563151)"
IL MELOGRANO SOCIETA' COOPERATIVA SOCIALE O.N.L.U.S.,Segrate,MI,0270630724,ilmelograno@ilmelogranonet.it,"Anziani, Disabili/Handicappati, Disagio Giovanile, Educativa, Emarginazione Sociale, Famiglia, Minori, Prevenzione del disagio, Stranieri","Altro, Assistenza Domiciliare integrata Anziani, Assistenza Domiciliare integrata Disabili, Assistenza Pre e Post Scolastica, Assistenza domiciliare minori, Assistenza scolastica ""ad personam"", Ludoteca - baby parking, Micronidi",,,45.49359866,9.29701474,"(45.49359866, 9.29701474)"
CENTRO MEDICO POLISPECIALISTICO SOCIETA' COOPERATIVA SOCIALE,Mantova,MN,03761888024,,"Disabili/Handicappati, Famiglia",Altro,,,45.1581659,10.79269114,"(45.1581659, 10.79269114)"
ARAGON SOCIETA' COOPERATIVA SOCIALE ONLUS,Como,CO,031269656,,Psichiatria,Comunità Protetta Psichiatrica,,,45.81017055,9.0744514,"(45.81017055, 9.0744514)"
L'ARCA SOCIETA' COOPERATIVA SOCIALE,Chiavenna,SO,034335760,arcacoop@libero.it,"Altro, Anziani, Disabili/Handicappati, Emarginazione Sociale, Famiglia, Psichiatria","Altro, Comunità Accoglienza residenziale",,,46.32240598,9.38665911,"(46.32240598, 9.38665911)"
ERREGI SOCIETA' COOPERATIVA SOCIALE - O.N.L.U.S.,Milano,MI,0813385810,studio@studiobuzzetti.com,"Anziani, Disabili/Handicappati, Minori",Assistenza Domiciliare infermieristica,,,45.46738025,9.15071421,"(45.46738025, 9.15071421)"
PASSO A DUE COOPERATIVA SOCIALE ONLUS,Ripalta Cremasca,CR,335 1227140,,"Anziani, Disabili/Handicappati, Educativa, Minori, Prevenzione del disagio, Psichiatria, Tossicodipendenza","Residenza Sanitaria assistenziale per anziani, Residenza sanitaria Assistenziale per disabili",,,45.32593695,9.69567679,"(45.32593695, 9.69567679)"
SCHOLE' COOPERATIVA SOCIALE,Busto Arsizio,VA,0331322957,,"Disabili/Handicappati, Disagio Giovanile, Educativa, Famiglia, Minori",Progettazione servizi,,,45.6118664,8.8536013,"(45.6118664, 8.8536013)"
LA BAIA SOCIETA' COOPERATIVA SOCIALE,Crema,CR,0373649846,,"Disagio Giovanile, Educativa, Stranieri",Informagiovani - Spazio giovani,,,45.35183754,9.6903292,"(45.35183754, 9.6903292)"
CONSORZIO CASCINA NIBAI COOPERATIVA CONSORTILE,Cernusco sul Naviglio,MI,029231981,consumo.nibai@tiscali.it,,,,,45.53791888,9.34304946,"(45.53791888, 9.34304946)"
SOCIETA' COOPERATIVA SOCIALE - INIZIATIVE DIDATTICO EDUCATIVE ARTICOLATE CON LA SIGLA I.D.E.A. PICCOLA COOP. O.N.L.U.S.,Cuasso al Monte,VA,3482328357,pc.idea@tiscali.it,"Disabili/Handicappati, Disagio Giovanile, Educativa, Famiglia, Minori","Altro, Assistenza Pre e Post Scolastica",,,45.91453149,8.88158368,"(45.91453149, 8.88158368)"
COOPERATIVA SOCIALE LEONARDO - PROGETTI SOCIALI - ONLUS,Como,CO,031509893,csleonardo@tin.it,"Disabili/Handicappati, Educativa, Famiglia, Minori, Prevenzione del disagio","Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Educatori di Strada",,,45.79154195,9.0782477,"(45.79154195, 9.0782477)"
VIA LIBERA COOPERATIVA SOCIALE - ONLUS,Milano,MI,0289504176,via.libera@virgilio.it,,,"Altro, Consegna pasti","Disabili, Minori",45.43095957,9.15326973,"(45.43095957, 9.15326973)"
SOCIETA' COOPERATIVA SOCIALE CALYPSO O.N.L.U.S. - SOCIETA' COOPERATIVA,Milano,MI,3391208235,calypso@cooperativacalypso.it,"Emarginazione Sociale, Famiglia, Psichiatria",Assistenza domiciliare pazienti psichiatrici,,,45.42988792,9.16875854,"(45.42988792, 9.16875854)"
A.D.P. SOCIETA' COOPERATIVA SOCIALE - ONLUS,Cesano Boscone,MI,024408742,adpcooperativa@tiscali.it,"Anziani, Disabili/Handicappati","Assistenza Domiciliare infermieristica, Assistenza Domiciliare integrata Disabili, Comunità socio sanitaria per disabili, Trasporto persone in situazione di bisogno",,,45.44965316,9.09369078,"(45.44965316, 9.09369078)"
PROGETTO PROMOZIONE LAVORO COOPERATIVA SOCIALE A R.L.,Olgiate Olona,VA,0331333721,promlavoro@libero.it,Disabili/Handicappati,Centro di formazione per disabili,,,45.62839707,8.88747408,"(45.62839707, 8.88747408)"
ERMES SOCIETA' COOPERATIVA SOCIALE - ONLUS,Ome,BS,0287380765,,,,"Apertura e chiusura parchi, Attività editoriale, Confezionamenti vari, Consegna pasti, Facchinaggio e traslochi, Gestione bar, Gestione mense, Manutenzione stabili, Manutenzione verde, Orto-floro-vivaismo, Produzione segnaletica stradale, Progettazione e istallazione impianti fotovoltaici, Pulizia ambienti, Raccolta differenz., Servizi cimiteriali, Sgomberi locali, Sorveglianza e portierato, Spazzamento e pulizia strade, Tessitura in genere, Tinteggiatura, Trasporto persone, Valorizzazione del territorio",,45.62588376,10.12313377,"(45.62588376, 10.12313377)"
NUOVA ASSISTENZA SOCIETA' COOPERATIVA SOCIALE,Cinisello Balsamo,MI,3423479186,,"Anziani, Disagio Giovanile, Famiglia, Minori",Assistenza Domiciliare integrata Anziani,,,45.55720447,9.21920693,"(45.55720447, 9.21920693)"
TEMPO LIBERO - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Brescia,BS,0302808350,amministrazione@cooptempolibero.it,,,"Altro, Pulizia ambienti, Sorveglianza e portierato","Pazienti psichiatrici, Tossicodipendenti, Alcooldipendenti",45.53284631,10.22181873,"(45.53284631, 10.22181873)"
ELSINOR SOCIETA' COOPERATIVA SOCIALE,Milano,MI,02606021,simone.bedini@elsinor.net,"Educativa, Minori",Animazione culturale  e territoriale,,,45.49199935,9.18739069,"(45.49199935, 9.18739069)"
NOE' SOCIETA' COOPERATIVA SOCIALE - ONLUS,Ostiglia,MN,0376900021,Cooperativa_noe@yahoo.it,"Disagio Giovanile, Educativa, Famiglia, Minori, Prevenzione del disagio, Stranieri, Tossicodipendenza",Comunità Accoglienza residenziale,,,45.06615725,11.13274176,"(45.06615725, 11.13274176)"
COCCINELLA SOCIETA' COOPERATIVA SOCIALE - ONLUS,Lonato,BS,0309913918,fabrizio.raffa@tele2.it,Educativa,Asilo Nido,,,45.46345762,10.48293078,"(45.46345762, 10.48293078)"
IN OPERA - SOCIETA' COOPERATIVA SOCIALE SIGLABILE IN OPERA SOC. COOP. SOCIALE,Milano,MI,3482414693,,,,"Altro, Gestione bar",Detenuti,45.46299304,9.17400329,"(45.46299304, 9.17400329)"
ATTICUS COOPERATIVA SOCIALE A R.L.,Milano,MI,0245074561,,"Altro, Emarginazione Sociale, Minori, Prevenzione del disagio, Stranieri",Servizi di formazione all'autonomia,,,45.4709253,9.2387392,"(45.4709253, 9.2387392)"
